ornament,voice,bar,pitch
E 2 S -2 S -1 E,1,110 7/8,67
E 2 T -2 T -2 T 2 T 2 E,3,111 1/8,57
E 4 E,1,111 3/8,64
E -2 S 2 S 2 E,1,111 5/8,60
E 1 E,1,111 7/8,65
E -1 S,1,112 3/8,61
E -1 S -2 S 2 S,1,112 5/8,61
S 1 S -3 S 2 S 1 E.,1,112 13/16,62
E. -2 S 2 S 1 S 2 S -3 S 1 E,2,113 3/16,55
E 0 S -2 S -2 S 2 S 2 S 2 S 1 E,0,113 5/8,62
E 2 S -2 S 2 S,2,114 1/8,60
S -2 S 2 T -2 T -1 T -2 T 2 Q,2,114 5/16,58
E 2 S -2 S -1 E,0,114 7/8,67
E -2 S 2 S -4 E,0,115 1/8,62
E -2 S 2 S 1 E.,2,115 3/8,55
R 0 S 1 S 2 S 2 T,1,115 11/16,57
R 0 T 1 T 2 T -2 S,0,115 29/32,64
S -3 S 2 S 1 S 2 S,0,116 1/16,62
S 3 S -1 S -2 S -1 E,0,116 5/16,70
E. -1 S 1 S -1 S 1 T -1 T 1 T 2 T 1 Q,3,117 3/16,54
Q 0 S 2 S 1 S 2 S -2 Q,1,117 3/4,62
E 2 T -3 T 1 T -3 T 2 E.,1,119 3/8,67
E. -2 S,1,119 11/16,62
E 4 E,1,119 7/8,64
